id,speed
0,48.2663
1,47.827374
2,37.789642
3,29.744411
4,38.995396
5,27.814625
6,21.577013
7,48.93916
8,48.104336
9,31.234125
10,29.907034
11,22.512789
12,23.208246
13,23.855627
14,27.931383
15,40.782948
16,43.87524
17,47.50404
18,48.35182
19,48.793922
20,46.401188
21,43.731388
22,19.489191
23,27.647806
24,25.689335
25,17.959631
26,19.540277
27,20.280731
28,16.69081
29,13.484229
30,25.502277
31,47.743282
32,49.543926
33,29.023293
34,28.297564
35,25.81431
36,21.697357
37,20.785254
38,46.25739
39,41.18757
40,45.800423
41,48.013668
42,48.948753
43,43.71659
44,21.484615
45,18.34363
46,17.595665
47,11.743796
48,45.586098
49,48.223633
50,48.152374
51,21.332737
52,21.646763
53,19.386375
54,16.786108
55,17.902779
56,14.159199
57,16.44849
58,28.464352
59,37.038055
60,43.072506
61,40.781563
62,40.70812
63,41.723995
64,45.093437
65,48.14313
66,47.768982
67,46.030193
68,42.61931
69,27.12139
70,23.845606
71,18.559265
72,14.314489
73,15.133766
74,11.600772
75,6.7024255
76,43.97746
77,40.7043
78,45.103348
79,48.04587
80,13.715288
81,16.958122
82,21.792461
83,15.143043
84,16.395992
85,12.290132
86,18.775078
87,34.184864
88,45.596558
89,41.754242
90,48.6775
91,47.8472
92,46.662624
93,45.877995
94,26.657373
95,15.082701
96,21.86499
97,11.555481
98,9.931809
99,19.071398
100,41.319504
101,47.243816
102,14.800759
103,16.80504
104,14.0803995
105,43.746937
106,36.31525
107,48.78042
108,43.70073
109,14.876132
110,8.645857
111,9.211894
112,18.621437
113,36.300575
114,38.485386
115,48.651432
116,48.781258
117,40.732407
118,29.639124
119,24.768787
120,18.873297
121,17.207079
122,33.022533
123,47.28143
124,46.728054
125,42.693363
126,42.298954
127,38.023315
128,40.72477
129,33.910038
130,48.5156
131,47.23625
132,46.83357
133,28.189318
134,24.031467
135,23.29199
136,39.1643
137,46.725986
138,49.798065
139,47.796734
140,47.259068
141,44.73841
142,25.690565
143,15.940158
144,19.687548
145,18.258108
146,20.18122
147,49.12819
148,50.1137
149,47.632614
150,47.838203
151,15.376449
152,13.041356
153,15.79573
154,8.043808
155,21.407194
156,36.84295
157,45.196335
158,42.066856
159,46.69709
160,49.093132
161,49.931507
162,48.445526
163,47.682278
164,45.32306
165,25.796356
166,14.541868
167,18.211086
168,17.049139
169,17.716278
170,12.139987
171,11.67899
172,46.07645
173,48.245907
174,44.74727
175,25.351446
176,16.310646
177,15.242569
178,16.37513
